Name,Latitude,Longitude,Country,Division,District
Amtali,22.1339094,90.2361929,Bangladesh,Barisal Division,Barguna District
Bamna,22.3128887,90.0910316,Bangladesh,Barisal Division,Barguna District
Barguna-S,22.1604747,90.1200741,Bangladesh,Barisal Division,Barguna District
Betagi,22.4141607,90.1658856,Bangladesh,Barisal Division,Barguna District
Patharghata,22.0386917,89.9696802,Bangladesh,Barisal Division,Barguna District
Taltali,21.9850165,90.0863581,Bangladesh,Barisal Division,Barguna District
Agailjhara,22.9713291,90.1635442,Bangladesh,Barisal Division,Barisal District
Babuganj,22.8172374,90.3245891,Bangladesh,Barisal Division,Barisal District
Bakerganj,22.5405454,90.3383648,Bangladesh,Barisal Division,Barisal District
Banaripara,22.7779323,90.1622648,Bangladesh,Barisal Division,Barisal District
Barishal-S,22.7010021,90.3534511,Bangladesh,Barisal Division,Barisal District
Gouranadi,22.974329,90.2220861,Bangladesh,Barisal Division,Barisal District
Hizla,22.92961233,90.44519546,Bangladesh,Barisal Division,Barisal District
Mehendiganj,22.8260701,90.5269639,Bangladesh,Barisal Division,Barisal District
Muladi,22.8875337,90.3889622,Bangladesh,Barisal Division,Barisal District
Uzirpur,22.8192933,90.2502697,Bangladesh,Barisal Division,Barisal District
Bhola-S,22.6854694,90.6439027,Bangladesh,Barisal Division,Bhola District
Borhanuddin,22.4974135,90.716473,Bangladesh,Barisal Division,Bhola District
Charfassion,22.1995354,90.7259605,Bangladesh,Barisal Division,Bhola District
Daulatkhan,22.6051091,90.7413661,Bangladesh,Barisal Division,Bhola District
Lalmohan,22.3410744,90.7318981,Bangladesh,Barisal Division,Bhola District
Monpura,22.26498486,90.96587286,Bangladesh,Barisal Division,Bhola District
Tazumuddin,22.4179785,90.8508345,Bangladesh,Barisal Division,Bhola District
Jhalokathi-S,22.57208,90.1869644,Bangladesh,Barisal Division,Jhalokati District
Kathalia,22.4410253,90.1406316,Bangladesh,Barisal Division,Jhalokati District
Nalchity,22.6282923,90.2688178,Bangladesh,Barisal Division,Jhalokati District
Rajapur,22.57400836,90.14314354,Bangladesh,Barisal Division,Jhalokati District
Bauphal,22.4192529,90.5565138,Bangladesh,Barisal Division,Patuakhali District
Dashmina,22.2791401,90.5683399,Bangladesh,Barisal Division,Patuakhali District
Dumki,22.4644533,90.3842527,Bangladesh,Barisal Division,Patuakhali District
Galachipa,22.1633734,90.4101619,Bangladesh,Barisal Division,Patuakhali District
Kalapara,21.9848767,90.2315018,Bangladesh,Barisal Division,Patuakhali District
Mirzaganj,22.36720772,90.2113579,Bangladesh,Barisal Division,Patuakhali District
Patuakhali-S,22.3587792,90.3452381,Bangladesh,Barisal Division,Patuakhali District
Rangabali,21.9397378,90.4408037,Bangladesh,Barisal Division,Patuakhali District
Bhandaria,22.4832118,90.0591175,Bangladesh,Barisal Division,Pirojpur District
Kawkhali,22.6258092,90.0700051,Bangladesh,Barisal Division,Pirojpur District
Mothbaria,22.2920455,89.9580123,Bangladesh,Barisal Division,Pirojpur District
Nazirpur,22.7867163,89.9813445,Bangladesh,Barisal Division,Pirojpur District
Nesarabad,22.7449644,90.1167463,Bangladesh,Barisal Division,Pirojpur District
Pirojpur-S,22.5841393,89.9720764,Bangladesh,Barisal Division,Pirojpur District
Zianagar,22.4857641,89.9603461,Bangladesh,Barisal Division,Pirojpur District
Kaukhali,22.6258092,90.0700051,Bangladesh,Barisal Division,Pirojpur District
Akhaura,23.8686193,91.2097291,Bangladesh,Chittagong Division,Brahmanbaria District
Ashuganj,24.0277383,90.9964085,Bangladesh,Chittagong Division,Brahmanbaria District
B.Baria-S,23.9608181,91.1115014,Bangladesh,Chittagong Division,Brahmanbaria District
Bancharampur,23.7753335,90.803813,Bangladesh,Chittagong Division,Brahmanbaria District
Bijoynagar,24.0141859,91.2265536,Bangladesh,Chittagong Division,Brahmanbaria District
Kasba,23.74848704,91.12556892,Bangladesh,Chittagong Division,Brahmanbaria District
Nabinagar,23.88868174,90.96052468,Bangladesh,Chittagong Division,Brahmanbaria District
Nasirnagar,24.19575,91.1953135,Bangladesh,Chittagong Division,Brahmanbaria District
Sarail,24.0745179,91.1113216,Bangladesh,Chittagong Division,Brahmanbaria District
Alikadam,21.6530087,92.3147677,Bangladesh,Chittagong Division,Bandarban District
Bandarban-S,22.1935628,92.2187476,Bangladesh,Chittagong Division,Bandarban District
Lama,21.77442345,92.19687089,Bangladesh,Chittagong Division,Bandarban District
Naikhyongchari,21.4269481,92.1757278,Bangladesh,Chittagong Division,Bandarban District
Rowangchari,22.1832381,92.3366846,Bangladesh,Chittagong Division,Bandarban District
Ruma,22.05113211,92.41030187,Bangladesh,Chittagong Division,Bandarban District
Thanchi,21.8210961,92.435696,Bangladesh,Chittagong Division,Bandarban District
Chandpur-S,23.2320991,90.663075,Bangladesh,Chittagong Division,Chandpur District
Faridganj,23.1274882,90.7509045,Bangladesh,Chittagong Division,Chandpur District
Haimchar,23.0595392,90.5919691,Bangladesh,Chittagong Division,Chandpur District
Haziganj,23.2520414,90.8508345,Bangladesh,Chittagong Division,Chandpur District
Kachua,23.341144,90.8889678,Bangladesh,Chittagong Division,Chandpur District
Matlab (Dakshin),23.3449028,90.7091067,Bangladesh,Chittagong Division,Chandpur District
Matlab (Uttar),23.3837473,90.6181279,Bangladesh,Chittagong Division,Chandpur District
Shahrasti,23.2306433,90.9486223,Bangladesh,Chittagong Division,Chandpur District
Anwara,22.2337164,91.8659809,Bangladesh,Chittagong Division,Chittagong District
Banskhali,22.0254192,91.9463185,Bangladesh,Chittagong Division,Chittagong District
Boalkhali,22.3791057,91.9172519,Bangladesh,Chittagong Division,Chittagong District
Chandanish,22.2438942,92.0126276,Bangladesh,Chittagong Division,Chittagong District
Fatikchari,22.7587557,91.7388135,Bangladesh,Chittagong Division,Chittagong District
Hathazari,22.5084634,91.8074586,Bangladesh,Chittagong Division,Chittagong District
Karnaphuli,22.58188252,92.10685573,Bangladesh,Chittagong Division,
Lohagara,22.0401954,92.1008486,Bangladesh,Chittagong Division,Chittagong District
Mirsharai,22.773039,91.5741517,Bangladesh,Chittagong Division,Chittagong District
Patiya,22.2949889,91.9759204,Bangladesh,Chittagong Division,Chittagong District
Rangunia,22.4698078,92.0518154,Bangladesh,Chittagong Division,Chittagong District
Raojan,22.5348906,91.9104006,Bangladesh,Chittagong Division,Chittagong District
Sandwip,22.4937132,91.5015009,Bangladesh,Chittagong Division,
Satkania,22.1000226,92.0812156,Bangladesh,Chittagong Division,Chittagong District
Sitakunda,22.6170686,91.6809283,Bangladesh,Chittagong Division,Chittagong District
Chakoria,21.7250394,92.0469151,Bangladesh,Chittagong Division,Cox's Bazar District
Cox'S Bazar-S,21.4272283,92.0058074,Bangladesh,Chittagong Division,Cox's Bazar District
Kutubdia,21.816667,91.858333,Bangladesh,Chittagong Division,Cox's Bazar District
Moheskhali,21.5373654,91.9417617,Bangladesh,Chittagong Division,Cox's Bazar District
Pekua,21.8327393,91.9573985,Bangladesh,Chittagong Division,Cox's Bazar District
Ramu,21.4380193,92.1253854,Bangladesh,Chittagong Division,Cox's Bazar District
Teknaf,20.8578385,92.2975183,Bangladesh,Chittagong Division,Cox's Bazar District
Ukhiya,21.2446617,92.1389158,Bangladesh,Chittagong Division,Cox's Bazar District
Barura,23.3773279,91.0550222,Bangladesh,Chittagong Division,Comilla District
Brahmanpara,23.6225266,91.1017334,Bangladesh,Chittagong Division,Comilla District
Burichong,23.5534788,91.1266892,Bangladesh,Chittagong Division,Comilla District
Chandina,23.4892481,91.0083637,Bangladesh,Chittagong Division,Comilla District
Chouddagram,23.228035,91.3131861,Bangladesh,Chittagong Division,Comilla District
Cumilla-S,23.4606574,91.1809065,Bangladesh,Chittagong Division,Comilla District
Cumilla-S Daksin,23.4606574,91.1809065,Bangladesh,Chittagong Division,Comilla District
Daudkandi,23.5337738,90.7247008,Bangladesh,Chittagong Division,Comilla District
Debidwar,23.6114537,90.9772874,Bangladesh,Chittagong Division,Comilla District
Homna,23.6824728,90.7832908,Bangladesh,Chittagong Division,Comilla District
Laksham,23.2448524,91.1211746,Bangladesh,Chittagong Division,Comilla District
Lalmai,23.35896369,91.14666095,Bangladesh,Chittagong Division,Comilla District
Meghna,23.62555363,90.70070033,Bangladesh,Chittagong Division,Comilla District
Monohorganj,23.1122951,91.1158319,Bangladesh,Chittagong Division,Comilla District
Muradnagar,23.71489019,90.9439975,Bangladesh,Chittagong Division,Comilla District
Nangalkot,23.1694062,91.1977158,Bangladesh,Chittagong Division,Comilla District
Titas,23.60013341,90.8172896,Bangladesh,Chittagong Division,Comilla District
Chhagalniya,23.0386278,91.5184418,Bangladesh,Chittagong Division,Feni District
Daganbhuiyan,22.9123584,91.3180042,Bangladesh,Chittagong Division,Feni District
Feni,23.02124302,91.3963966,Bangladesh,Chittagong Division,Feni District
Fulgazi,23.1554497,91.4325717,Bangladesh,Chittagong Division,Feni District
Porshuram,23.2134267,91.4446255,Bangladesh,Chittagong Division,Feni District
Sonagazi,22.8491794,91.3927559,Bangladesh,Chittagong Division,Feni District
Dighinala,23.2408468,92.0640687,Bangladesh,Chittagong Division,Khagrachari District
Guimara,22.9603925,91.8695046,Bangladesh,Chittagong Division,Khagrachari District
Khagrachari-S,23.1117407,91.9888247,Bangladesh,Chittagong Division,Khagrachari District
Laxmichari,22.7961681,91.9123664,Bangladesh,Chittagong Division,Khagrachari District
Mahalchari,22.9316977,92.029768,Bangladesh,Chittagong Division,Khagrachari District
Manikchari,22.8417234,91.83671,Bangladesh,Chittagong Division,Khagrachari District
Matiranga,23.0407988,91.8733017,Bangladesh,Chittagong Division,Khagrachari District
Panchari,23.3028702,91.89895546,Bangladesh,Chittagong Division,Khagrachari District
Ramgarh,23.00913955,91.74034963,Bangladesh,Chittagong Division,Khagrachari District
Kamalnagar,22.5931811,90.99394972,Bangladesh,Chittagong Division,Lakshmipur District
Lakshmipur-Sadar,22.95374511,90.86731182,Bangladesh,Chittagong Division,Lakshmipur District
Raipur,23.03671742,90.76076459,Bangladesh,Chittagong Division,Lakshmipur District
Ramganj,23.1001185,90.8627473,Bangladesh,Chittagong Division,Lakshmipur District
Ramgati,22.7451822,90.9318234,Bangladesh,Chittagong Division,Lakshmipur District
Begumganj,22.9319328,91.0921473,Bangladesh,Chittagong Division,Noakhali District
Chatkhil,23.0518075,90.9772874,Bangladesh,Chittagong Division,Noakhali District
Companiganj,22.8736722,91.2779445,Bangladesh,Chittagong Division,Noakhali District
Hatiya,22.2880698,91.1400998,Bangladesh,Chittagong Division,Noakhali District
Kabir Hat,22.7956429,91.1989169,Bangladesh,Chittagong Division,Noakhali District
Noakhali-S,22.8246384,91.1017334,Bangladesh,Chittagong Division,Noakhali District
Senbag,22.9874868,91.2337661,Bangladesh,Chittagong Division,Noakhali District
Sonaimuri,23.0509273,91.1113216,Bangladesh,Chittagong Division,Noakhali District
Subarna Char,22.6755632,91.1256666,Bangladesh,Chittagong Division,Noakhali District
Baghaichari,23.1649165,92.1913643,Bangladesh,Chittagong Division,Rangamati Hill District
Barkal,22.7261595,92.37928328,Bangladesh,Chittagong Division,Rangamati Hill District
Belaichari,22.5117427,92.3436747,Bangladesh,Chittagong Division,Rangamati Hill District
Juraichari,22.6708223,92.3788939,Bangladesh,Chittagong Division,Rangamati Hill District
Kaptai,22.4943822,92.2212071,Bangladesh,Chittagong Division,Rangamati Hill District
Langadu,22.89933,92.153458,Bangladesh,Chittagong Division,Rangamati Hill District
Nanniarchar,22.862167,92.1106617,Bangladesh,Chittagong Division,Rangamati Hill District
Rajosthali,22.3762383,92.1522805,Bangladesh,Chittagong Division,Rangamati Hill District
