Address,Status geocode,Formatted address,Latitude,Longitude,Type,Location Type,Street number,Street,Postal code,City,Country,Region,Department,Department number
Amtali,"2 found, use single geocode.","Amtali, Bangladesh",22.1339094,90.2361929,"locality, political",APPROXIMATE,,,,Amtali,Bangladesh,Barisal Division,Barguna District,Barguna District
Bamna,"3 found, use single geocode.","Bamna, Bangladesh",22.3128887,90.0910316,"locality, political",APPROXIMATE,,,,Bamna,Bangladesh,Barisal Division,Barguna District,Barguna District
Barguna-S,Ok,"Barguna Sadar Upazila, Bangladesh",22.1604747,90.1200741,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Barisal Division,Barguna District,Barguna District
Betagi,Ok,"Betagi, Bangladesh",22.4141607,90.1658856,"locality, political",APPROXIMATE,,,,Betagi,Bangladesh,Barisal Division,Barguna District,Barguna District
Patharghata,"3 found, use single geocode.","Patharghata, Bangladesh",22.0386917,89.9696802,"locality, political",APPROXIMATE,,,,Patharghata,Bangladesh,Barisal Division,Barguna District,Barguna District
Taltali,"2 found, use single geocode.","Taltali, Bangladesh",21.9850165,90.0863581,"locality, political",APPROXIMATE,,,,Taltali,Bangladesh,Barisal Division,Barguna District,Barguna District
Agailjhara,Ok,"Agailjhara, Bangladesh",22.9713291,90.1635442,"locality, political",APPROXIMATE,,,,Agailjhara,Bangladesh,Barisal Division,Barisal District,Barisal District
Babuganj,"3 found, use single geocode.","Babuganj, Bangladesh",22.8172374,90.3245891,"locality, political",APPROXIMATE,,,,Babuganj,Bangladesh,Barisal Division,Barisal District,Barisal District
Bakerganj,"2 found, use single geocode.","Bakergonj, Bangladesh",22.5405454,90.3383648,"locality, political",APPROXIMATE,,,,Bakergonj,Bangladesh,Barisal Division,Barisal District,Barisal District
Banaripara,"2 found, use single geocode.","Banaripara Upazila, Bangladesh",22.7779323,90.1622648,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Barisal Division,Barisal District,Barisal District
Barishal-S,"Ok, partial match","Barishal, Bangladesh",22.7010021,90.3534511,"locality, political",APPROXIMATE,,,,Barishal,Bangladesh,Barisal Division,Barisal District,Barisal District
Gouranadi,"Ok, partial match","Gaurnadi Upazila, Bangladesh",22.974329,90.2220861,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Barisal Division,Barisal District,Barisal District
Hizla,Ok,"Hizla Upazila,Bangladesh",22.92961233,90.44519546,"locality, political",APPROXIMATE,,,,Barishal,Bangladesh,Barisal Division,Barisal District,Barisal District
Mehendiganj,Ok,"Mehendiganj, Bangladesh",22.8260701,90.5269639,"locality, political",APPROXIMATE,,,,Mehendiganj,Bangladesh,Barisal Division,Barisal District,Barisal District
Muladi,Ok,"Muladi, Bangladesh",22.8875337,90.3889622,"locality, political",APPROXIMATE,,,,Muladi,Bangladesh,Barisal Division,Barisal District,Barisal District
Uzirpur,Ok,"Wazirpur, Bangladesh",22.8192933,90.2502697,"locality, political",APPROXIMATE,,,,Wazirpur,Bangladesh,Barisal Division,Barisal District,Barisal District
Bhola-S,"2 found, use single geocode.","Bhola, Bangladesh",22.6854694,90.6439027,"locality, political",APPROXIMATE,,,,Bhola,Bangladesh,Barisal Division,Bhola District,Bhola District
Borhanuddin,Ok,"Borhanuddin Upazila, Bangladesh",22.4974135,90.716473,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Barisal Division,Bhola District,Bhola District
Charfassion,"2 found, use single geocode.","Char Fasson, Bangladesh",22.1995354,90.7259605,"locality, political",APPROXIMATE,,,,Char Fasson,Bangladesh,Barisal Division,Bhola District,Bhola District
