iter  lambda         dual           primal         LB             UB             gap            step           subgrad        
----------------------------------------------------------------------------------------------------
0     0.607049       14643          14643          6565           14643          8078           4.56188e-05    -13307         
1     0.891148       8465.06        12525          6565           8465.06        1900.06        4.2479e-05     -6688          
2     1.04311        6942.17        9154           6565           6942.17        377.17         6.12257e-05    -2482          
3     1.15152        6693.78        7933           6565           6693.78        128.785        9.12498e-05    -1188          
4     1.50898        6624.7         6817           6565           6624.7         59.697         0.00214052     -167           
5     1.37113        6685.34        5368           6565           6624.7         59.697         0.000157902    873            
6     1.04361e-14    6623.96        6565           6565           6623.96        58.9588        0.0318868      43             
7     0.607049       14643          14643          6565           6623.96        58.9588        4.56188e-05    -13307         
8     0.891148       8465.06        12525          6565           6623.96        58.9588        4.2479e-05     -6688          
9     1.04311        6942.17        9154           6565           6623.96        58.9588        6.12257e-05    -2482          
10    1.15152        6693.78        7933           6565           6623.96        58.9588        9.12498e-05    -1188          
11    1.50898        6624.7         6817           6565           6623.96        58.9588        0.00214052     -167           
12    1.37113        6685.34        5368           6565           6623.96        58.9588        0.000157902    873            
13    1.04361e-14    6623.96        6565           6565           6623.96        58.9588        0.0318868      43             
14    0.607049       14643          14643          6565           6623.96        58.9588        4.56188e-05    -13307         
15    0.891148       8465.06        12525          6565           6623.96        58.9588        4.2479e-05     -6688          
16    1.04311        6942.17        9154           6565           6623.96        58.9588        6.12257e-05    -2482          
17    1.15152        6693.78        7933           6565           6623.96        58.9588        9.12498e-05    -1188          
18    1.50898        6624.7         6817           6565           6623.96        58.9588        0.00214052     -167           
19    1.37113        6685.34        5368           6565           6623.96        58.9588        0.000157902    873            
20    1.04361e-14    6623.96        6565           6565           6623.96        58.9588        0.0318868      43             
21    0.607049       14643          14643          6565           6623.96        58.9588        4.56188e-05    -13307         
22    0.891148       8465.06        12525          6565           6623.96        58.9588        4.2479e-05     -6688          
23    1.04311        6942.17        9154           6565           6623.96        58.9588        6.12257e-05    -2482          
24    1.15152        6693.78        7933           6565           6623.96        58.9588        9.12498e-05    -1188          
25    1.50898        6624.7         6817           6565           6623.96        58.9588        0.00214052     -167           
26    1.37113        6685.34        5368           6565           6623.96        58.9588        0.000157902    873            
27    1.04361e-14    6623.96        6565           6565           6623.96        58.9588        0.0318868      43             
28    0.607049       14643          14643          6565           6623.96        58.9588        4.56188e-05    -13307         
29    0.891148       8465.06        12525          6565           6623.96        58.9588        4.2479e-05     -6688          
30    1.04311        6942.17        9154           6565           6623.96        58.9588        6.12257e-05    -2482          
31    1.15152        6693.78        7933           6565           6623.96        58.9588        9.12498e-05    -1188          
