Optimal Objective Value (Upper Bound),1215009497.387531

Facility Load and Cost Details:
Facility ID,City,Opened,Load,Capacity,Total Cost (Fixed + Routing)
0,Gobindaganj,Yes,124389.000000,19407.625000,32866185.989057
1,Patiya,Yes,31116.000000,19059.432990,6617639.389513
2,Sonagazi,Yes,111470.000000,19059.432990,37233940.972134
3,Gangni,Yes,47350.000000,19675.250000,13112399.935897
4,Banaripara,Yes,130018.000000,19090.578947,32497927.356179
5,Tahirpur,Yes,32555.000000,19067.823529,9547859.875974
6,Lauhajong,Yes,27422.000000,18594.090909,5003970.091605
7,Sreemangal,Yes,14263.000000,19067.823529,4143660.505226
8,Kurigram-S,Yes,90949.000000,19407.625000,26501451.526335
9,Durgapur,Yes,43179.000000,19398.672414,9703244.486151
10,Chirirbandar,Yes,73397.000000,19407.625000,18972140.230048
11,Lakhai,Yes,47891.000000,19067.823529,11403338.078758
12,Durgapur,Yes,41348.000000,19156.263158,12941991.750722
13,Hizla,Yes,15607.000000,19090.578947,4352526.289937
14,Araihazar,Yes,73625.000000,18594.090909,19977820.690995
15,Raninagar,Yes,39665.000000,19398.672414,10989226.400348
16,Gouripur,Yes,101622.000000,19156.263158,31184024.894439
17,Kalaroa,Yes,71407.000000,19675.250000,29827920.726756
18,Singair,Yes,72718.000000,18594.090909,16317444.440508
19,Jaldhaka,Yes,58469.000000,19407.625000,16440292.491596
20,Barkal,Yes,9613.000000,19059.432990,3526979.183279
21,Kalia,Yes,83801.000000,19675.250000,27357053.317166
22,Sariakandi,Yes,83153.000000,19398.672414,27775811.885039
23,Baraigram,Yes,52880.000000,19398.672414,12510410.317669
24,Manda,Yes,48959.000000,19398.672414,18341359.029855
25,Mehendiganj,Yes,40306.000000,19090.578947,15228864.866456
26,Kumarkhali,Yes,60842.000000,19675.250000,14401360.125901
27,Bhairab,Yes,67480.000000,19156.263158,15756921.889315
28,Chandanish,Yes,48883.000000,19059.432990,15251413.652860
29,Sirajganj-S,Yes,92215.000000,19398.672414,28171507.729857
30,Thanchi,Yes,78612.000000,19059.432990,41444581.515204
31,Kanaighat,Yes,26288.000000,19067.823529,7076182.581520
32,Burichong,Yes,95689.000000,19059.432990,23932825.752103
33,Galachipa,Yes,55764.000000,19090.578947,19682480.335530
34,Dumki,Yes,73579.000000,19090.578947,23783755.612987
35,Faridpur,Yes,51787.000000,18594.090909,12855150.672426
36,Khaliajuri,Yes,72393.000000,19156.263158,18170388.549242
37,Jhikargacha,Yes,57709.000000,19675.250000,15083105.608985
38,Rangamati-S,Yes,36535.000000,19059.432990,9642412.358181
39,Baliadangi,Yes,44954.000000,19407.625000,398577988.967151
40,Sonargaon,Yes,60717.000000,18594.090909,12674132.656933
41,Fatikchari,Yes,77592.000000,19059.432990,26413557.261287
42,Santhia,Yes,50952.000000,19398.672414,12758587.403322
43,Dakshin Surma,Yes,61996.000000,19067.823529,15278006.906136
44,Kamalganj,Yes,12394.000000,19067.823529,3413271.418476
45,Modhyanagar,Yes,28117.000000,18594.090909,5710282.289050
46,Mohanpur,Yes,29626.000000,19398.672414,19818260.694756
47,Shariatpur-S,Yes,60326.000000,18594.090909,12728716.700434
48,Charbhadrasan,Yes,35955.000000,18594.090909,8009121.984234

Assignments (x[j][i]):
Facility ID (j),Facility City,Customer ID (i),Customer City,Assignment Value
0,Gobindaganj,6,Palashbari,7027.000000
0,Gobindaganj,9,Khetlal,8223.000000
0,Gobindaganj,31,Pirganj,6400.000000
0,Gobindaganj,69,Saghata,8789.000000
0,Gobindaganj,99,Panchbibi,7866.000000
0,Gobindaganj,106,Sadullapur,7595.000000
0,Gobindaganj,147,Gaibandha-S,7962.000000
0,Gobindaganj,182,Hakimpur,7636.000000
0,Gobindaganj,255,Kalai,7560.000000
0,Gobindaganj,270,Ghoraghat,4637.000000
0,Gobindaganj,284,Dhupchancia,4048.000000
0,Gobindaganj,328,Fulchari,4347.000000
0,Gobindaganj,331,Sonatala,8585.000000
0,Gobindaganj,367,Shibganj,7368.000000
0,Gobindaganj,376,Shibganj,6309.000000
0,Gobindaganj,421,Pirganj,6746.000000
0,Gobindaganj,427,Joypurhat-S,5413.000000
0,Gobindaganj,435,Islampur,7878.000000
1,Patiya,212,Rajosthali,5326.000000
1,Patiya,254,Rangunia,7532.000000
1,Patiya,288,Raojan,5014.000000
1,Patiya,321,Boalkhali,8090.000000
1,Patiya,405,Anwara,5154.000000
2,Sonagazi,40,Feni,6669.000000
2,Sonagazi,47,Chhagalniya,7961.000000
2,Sonagazi,48,Porshuram,4409.000000
2,Sonagazi,54,Begumganj,5554.000000
2,Sonagazi,64,Fulgazi,6421.000000
2,Sonagazi,141,Nangalkot,6218.000000
2,Sonagazi,189,Sonaimuri,6399.000000
2,Sonagazi,194,Chatkhil,4966.000000
2,Sonagazi,204,Kamalnagar,5785.000000
2,Sonagazi,206,Hatiya,6121.000000
2,Sonagazi,228,Companiganj,7544.000000
2,Sonagazi,269,Noakhali-S,7682.000000
2,Sonagazi,300,Senbag,6473.000000
2,Sonagazi,360,Subarna Char,8620.000000
2,Sonagazi,363,Monohorganj,8153.000000
2,Sonagazi,372,Daganbhuiyan,5247.000000
2,Sonagazi,416,Kabir Hat,7248.000000
3,Gangni,35,Mujib Nagar,6083.000000
3,Gangni,43,Alamdanga,8394.000000
3,Gangni,160,Daulatpur,5206.000000
3,Gangni,162,Chuadanga-S,6871.000000
3,Gangni,246,Damurhuda,8849.000000
3,Gangni,341,Jibannagar,7066.000000
3,Gangni,382,Meherpur-S,4881.000000
4,Banaripara,61,Nesarabad,6893.000000
4,Banaripara,88,Nalchity,4980.000000
4,Banaripara,90,Uzirpur,7626.000000
4,Banaripara,103,Bagerhat-S,8217.000000
4,Banaripara,108,Kotwalipara,8321.000000
4,Banaripara,181,Pirojpur-S,8056.000000
4,Banaripara,184,Kaukhali,5219.000000
4,Banaripara,192,Jhalokathi-S,8955.000000
4,Banaripara,223,Agailjhara,8926.000000
4,Banaripara,248,Kawkhali,5199.000000
4,Banaripara,262,Morrelganj,5529.000000
4,Banaripara,294,Zianagar,6266.000000
4,Banaripara,310,Nazirpur,6883.000000
4,Banaripara,316,Chitalmari,8166.000000
4,Banaripara,335,Rajapur,7145.000000
4,Banaripara,358,Barishal-S,8368.000000
4,Banaripara,391,Babuganj,7960.000000
4,Banaripara,398,Gouranadi,7309.000000
5,Tahirpur,13,Dakhin Sunamganj,5863.000000
5,Tahirpur,29,Sunamganj-S,8350.000000
5,Tahirpur,154,Biswamvarpur,5045.000000
5,Tahirpur,250,Jamalganj,4956.000000
5,Tahirpur,324,Doarabazar,8341.000000
6,Lauhajong,261,Sirajdikhan,5348.000000
6,Lauhajong,267,Sreenagar,8978.000000
6,Lauhajong,273,Shibchar,8267.000000
6,Lauhajong,432,Tongibari,4829.000000
7,Sreemangal,169,Chunarughat,6494.000000
7,Sreemangal,256,Bahubal,7769.000000
8,Kurigram-S,1,Rajibpur,5033.000000
8,Kurigram-S,36,Phulbari,8305.000000
8,Kurigram-S,85,Chilmari,7558.000000
8,Kurigram-S,114,Lalmonirhat-S,7081.000000
8,Kurigram-S,144,Kaunia,8716.000000
8,Kurigram-S,153,Rajarhat,5695.000000
8,Kurigram-S,179,Sundarganj,4557.000000
8,Kurigram-S,205,Bhurungamari,4757.000000
8,Kurigram-S,218,Mithapukur,5978.000000
8,Kurigram-S,253,Nageswari,5209.000000
8,Kurigram-S,290,Ulipur,8074.000000
8,Kurigram-S,334,Aditmari,7151.000000
8,Kurigram-S,364,Pirgacha,6560.000000
8,Kurigram-S,389,Rowmari,6275.000000
9,Durgapur,14,Paba,5765.000000
9,Durgapur,25,Charghat,7193.000000
9,Durgapur,71,Naldanga,5266.000000
9,Durgapur,121,Puthia,6532.000000
9,Durgapur,221,Bagha,8596.000000
9,Durgapur,234,Lalpur,4938.000000
9,Durgapur,404,Natore-S,4889.000000
10,Chirirbandar,26,Kaharol,5542.000000
10,Chirirbandar,56,Badarganj,5122.000000
10,Chirirbandar,78,Birampur,6073.000000
10,Chirirbandar,115,Parbatipur,7726.000000
10,Chirirbandar,190,Dinajpur-S,7371.000000
10,Chirirbandar,201,Phulbari,8646.000000
10,Chirirbandar,238,Khanshama,4767.000000
10,Chirirbandar,277,Bochaganj,7816.000000
10,Chirirbandar,286,Birganj,6101.000000
10,Chirirbandar,369,Sayedpur,8447.000000
10,Chirirbandar,441,Birol,5786.000000
11,Lakhai,119,Mithamoin,4020.000000
11,Lakhai,219,Sayestaganj,5695.000000
11,Lakhai,241,Nasirnagar,4911.000000
11,Lakhai,345,Habiganj-S,6858.000000
11,Lakhai,395,Austagram,8800.000000
11,Lakhai,407,Baniachong,5878.000000
11,Lakhai,415,Nabiganj,7147.000000
11,Lakhai,434,Madhabpur,4582.000000
12,Durgapur,22,Haluaghat,8066.000000
12,Durgapur,227,Nalitabari,7385.000000
12,Durgapur,348,Dhobaura,5653.000000
12,Durgapur,353,Barhatta,4321.000000
12,Durgapur,419,Kalmakanda,8385.000000
12,Durgapur,433,Purbadhala,7538.000000
13,Hizla,18,Faridganj,4078.000000
13,Hizla,187,Muladi,4546.000000
13,Hizla,251,Haimchar,6983.000000
14,Araihazar,127,Kaliganj,5996.000000
14,Araihazar,133,Gazipur-S,7222.000000
14,Araihazar,136,Narshingdi-S,4386.000000
14,Araihazar,148,Sreepur,4235.000000
14,Araihazar,157,Kaliganj,6475.000000
14,Araihazar,188,Homna,4562.000000
14,Araihazar,247,Palash,4657.000000
14,Araihazar,275,Rupganj,5170.000000
14,Araihazar,297,Kapasia,5117.000000
14,Araihazar,381,Kaliganj,8533.000000
14,Araihazar,408,Kaliganj,4663.000000
14,Araihazar,430,Sreepur,7430.000000
14,Araihazar,431,Bancharampur,5179.000000
15,Raninagar,37,Badalgachi,6452.000000
15,Raninagar,70,Adamdighi,6897.000000
15,Raninagar,102,Atrai,4948.000000
15,Raninagar,122,Bagmara,7311.000000
15,Raninagar,139,Naogaon-S,5232.000000
15,Raninagar,378,Akkelpur,8825.000000
16,Gouripur,28,Netrakona-S,5117.000000
16,Gouripur,79,Trishal,6182.000000
16,Gouripur,93,Mymensingh-S,8603.000000
16,Gouripur,94,Ishwarganj,7770.000000
16,Gouripur,104,Nakla,6329.000000
16,Gouripur,128,Bhaluka,5219.000000
16,Gouripur,131,Tarakanda,5005.000000
16,Gouripur,168,Fulbaria,5935.000000
16,Gouripur,231,Atpara,5680.000000
16,Gouripur,249,Kishoreganj-S,6793.000000
16,Gouripur,258,Kishoreganj,7368.000000
16,Gouripur,340,Phulpur,8291.000000
16,Gouripur,368,Nandail,8297.000000
16,Gouripur,385,Hossainpur,4962.000000
16,Gouripur,438,Gaffargaon,4987.000000
16,Gouripur,439,Muktagacha,5084.000000
17,Kalaroa,27,Keshabpur,8588.000000
17,Kalaroa,112,Dumuria,7028.000000
17,Kalaroa,166,Paikgacha,6389.000000
17,Kalaroa,178,Koyra,8217.000000
17,Kalaroa,243,Tala,6747.000000
17,Kalaroa,259,Shyamnagar,4647.000000
17,Kalaroa,285,Satkhira-S,7936.000000
17,Kalaroa,289,Mongla,8805.000000
17,Kalaroa,327,Assasuni,6010.000000
17,Kalaroa,397,Debhata,7040.000000
18,Singair,32,Nawabganj-S,4294.000000
18,Singair,45,Harirampur,4860.000000
18,Singair,63,Mohammadpur,8669.000000
18,Singair,74,Kaliakoir,4620.000000
18,Singair,83,Dhamrai,5287.000000
18,Singair,89,Nawabganj,6820.000000
18,Singair,96,Saturia,5077.000000
18,Singair,175,Savar,6261.000000
18,Singair,176,Manikganj-S,7640.000000
18,Singair,207,Mirzapur,6522.000000
18,Singair,322,Nawabganj,4376.000000
18,Singair,357,Ghior,8292.000000
19,Jaldhaka,50,Nilphamari-S,6967.000000
19,Jaldhaka,73,Dimla,5182.000000
19,Jaldhaka,118,Debiganj,8087.000000
19,Jaldhaka,146,Patgram,4300.000000
19,Jaldhaka,174,Taraganj,5643.000000
19,Jaldhaka,293,Hatibandha,7042.000000
19,Jaldhaka,305,Domar,4636.000000
19,Jaldhaka,392,Gangachara,7607.000000
19,Jaldhaka,428,Rangpur-S,9005.000000
20,Barkal,20,Juraichari,5432.000000
20,Barkal,163,Baghaichari,4181.000000
21,Kalia,39,Phultala,6241.000000
21,Kalia,77,Narail-S,6897.000000
21,Kalia,100,Rampal,6338.000000
21,Kalia,110,Alfadanga,4234.000000
21,Kalia,167,Gopalganj-S,5353.000000
21,Kalia,170,Kasiani,4171.000000
21,Kalia,173,Mollahat,4110.000000
21,Kalia,200,Fakirhat,7498.000000
21,Kalia,214,Batiaghata,7028.000000
21,Kalia,232,Rupsha,7390.000000
21,Kalia,240,Dighalia,5177.000000
21,Kalia,260,Dacope,8597.000000
21,Kalia,346,Terokhada,4877.000000
21,Kalia,396,Tungipara,5890.000000
22,Sariakandi,5,Sreebordi,6506.000000
22,Sariakandi,80,Kahaloo,5559.000000
22,Sariakandi,91,Dewanganj,8331.000000
22,Sariakandi,111,Sarishabari,4467.000000
22,Sariakandi,129,Jhenaigati,5374.000000
22,Sariakandi,252,Gabtali,8909.000000
