Optimal Objective Value (Upper Bound),6095035691.604062
Execution Time (Seconds),0.004159

Facility Load and Cost Details:
Facility ID,City,Opened,Load,Capacity,Total Cost (Fixed + Routing)
0,Gobindaganj,Yes,112438.037449,112438.037449,199605598.411825
2,Sonagazi,Yes,84107.193367,84107.193367,155431048.763161
4,Banaripara,Yes,118635.409592,118635.409592,209922667.651530
6,Lauhajong,Yes,84107.193367,84107.193367,149979083.698101
8,Kurigram-S,Yes,66400.415816,66400.415816,119558257.537674
9,Durgapur,Yes,89419.226633,89419.226633,165170948.818691
10,Chirirbandar,Yes,118635.409592,118635.409592,246220602.920060
11,Lakhai,Yes,48693.638265,48693.638265,89809220.089519
12,Durgapur,Yes,100928.632041,100928.632041,204917760.165552
13,Hizla,Yes,61973.721429,61973.721429,111058114.397956
14,Araihazar,Yes,75253.804592,75253.804592,135767332.112974
16,Gouripur,Yes,49578.977143,49578.977143,91264820.973147
17,Kalaroa,Yes,69941.771327,69941.771327,134188385.710148
19,Jaldhaka,Yes,84110.384388,90304.565510,173319691.500292
20,Barkal,Yes,111254.394592,115979.392959,258620947.103771
21,Kalia,Yes,85877.871122,85877.871122,154917100.226140
22,Sariakandi,Yes,55776.349286,55776.349286,102180935.938029
23,Baraigram,Yes,63744.399184,63744.399184,110076883.292908
24,Manda,Yes,54005.671531,54005.671531,115787794.846075
26,Kumarkhali,Yes,87648.548878,87648.548878,159262293.168981
27,Bhairab,Yes,121291.426224,121291.426224,248659658.787605
28,Chandanish,Yes,67285.754694,67285.754694,146387697.991002
29,Sirajganj-S,Yes,102699.309796,102699.309796,193562463.219288
32,Burichong,Yes,119520.748469,119520.748469,232206687.357515
33,Galachipa,Yes,81451.176735,81451.176735,156259099.965305
34,Dumki,Yes,128374.137245,128374.137245,265015359.754879
35,Faridpur,Yes,130144.815000,130144.815000,243996246.170708
36,Khaliajuri,Yes,120406.087347,120406.087347,250388659.754300
37,Jhikargacha,Yes,44266.943878,44266.943878,79789331.636993
39,Baliadangi,Yes,47808.299388,47808.299388,586860858.932960
41,Fatikchari,Yes,128374.137245,128374.137245,248753746.334182
42,Santhia,Yes,50464.316020,50464.316020,97288249.119822
45,Modhyanagar,Yes,127488.798367,127488.798367,258808145.252971

Assignments (x[j][i]):
Facility ID (j),Facility City,Customer ID (i),Customer City,Assignment Value
0,Gobindaganj,6,Palashbari,6440.000000
0,Gobindaganj,9,Khetlal,6909.000000
0,Gobindaganj,31,Pirganj,5469.000000
0,Gobindaganj,69,Saghata,5271.000000
0,Gobindaganj,91,Dewanganj,4950.386735
0,Gobindaganj,99,Panchbibi,8133.000000
0,Gobindaganj,106,Sadullapur,5757.000000
0,Gobindaganj,147,Gaibandha-S,5410.000000
0,Gobindaganj,182,Hakimpur,6948.000000
0,Gobindaganj,255,Kalai,5760.000000
0,Gobindaganj,270,Ghoraghat,7096.000000
0,Gobindaganj,284,Dhupchancia,6902.000000
0,Gobindaganj,296,Bogura-S,5199.650714
0,Gobindaganj,328,Fulchari,6604.000000
0,Gobindaganj,331,Sonatala,5438.000000
0,Gobindaganj,376,Shibganj,5296.000000
0,Gobindaganj,427,Joypurhat-S,6152.000000
0,Gobindaganj,435,Islampur,8703.000000
2,Sonagazi,40,Feni,5063.193367
2,Sonagazi,47,Chhagalniya,8207.000000
2,Sonagazi,189,Sonaimuri,6366.000000
2,Sonagazi,194,Chatkhil,8364.000000
2,Sonagazi,206,Hatiya,8664.000000
2,Sonagazi,235,Ramgati,5482.000000
2,Sonagazi,269,Noakhali-S,5790.000000
2,Sonagazi,300,Senbag,6570.000000
2,Sonagazi,360,Subarna Char,7885.000000
2,Sonagazi,363,Monohorganj,6423.000000
2,Sonagazi,372,Daganbhuiyan,6348.000000
2,Sonagazi,416,Kabir Hat,8945.000000
4,Banaripara,7,Madaripur-S,5035.000000
4,Banaripara,61,Nesarabad,7584.000000
4,Banaripara,62,Naria,2714.409592
4,Banaripara,90,Uzirpur,7363.000000
4,Banaripara,103,Bagerhat-S,7381.000000
4,Banaripara,108,Kotwalipara,7726.000000
4,Banaripara,181,Pirojpur-S,5855.000000
4,Banaripara,184,Kaukhali,5173.000000
4,Banaripara,192,Jhalokathi-S,8099.000000
4,Banaripara,223,Agailjhara,8676.000000
4,Banaripara,262,Morrelganj,7126.000000
4,Banaripara,310,Nazirpur,6057.000000
4,Banaripara,316,Chitalmari,7774.000000
4,Banaripara,335,Rajapur,5707.000000
4,Banaripara,358,Barishal-S,6907.000000
4,Banaripara,391,Babuganj,5566.000000
4,Banaripara,398,Gouranadi,6074.000000
4,Banaripara,402,Dashar,7818.000000
6,Lauhajong,4,Zajira,8674.000000
