Optimal Objective Value (Upper Bound),5782607949.337923
Execution Time (Seconds),9.042133

Facility Load and Cost Details:
Facility ID,City,Opened,Load,Capacity,Total Cost (Fixed + Routing)
0,Gobindaganj,Yes,112438.037449,112438.037449,201072404.135072
2,Sonagazi,Yes,84107.193367,84107.193367,150776632.450164
3,Gangni,Yes,102699.309796,102699.309796,188839054.051813
4,Banaripara,Yes,118635.409592,118635.409592,213983514.565607
5,Tahirpur,Yes,50464.316020,50464.316020,97508852.664380
8,Kurigram-S,Yes,66400.415816,66400.415816,121726811.817383
10,Chirirbandar,Yes,118635.409592,118635.409592,223935741.618544
11,Lakhai,Yes,48693.638265,48693.638265,83355893.835584
14,Araihazar,Yes,75253.804592,75253.804592,134059792.078533
15,Raninagar,Yes,75253.804592,75253.804592,136965362.750788
16,Gouripur,Yes,49578.977143,49578.977143,88958550.151412
17,Kalaroa,Yes,69941.771327,69941.771327,131188903.295290
18,Singair,Yes,71712.449082,71712.449082,125133626.303501
19,Jaldhaka,Yes,90304.565510,90304.565510,164156895.307345
21,Kalia,Yes,85877.871122,85877.871122,156924240.167621
22,Sariakandi,Yes,55776.349286,55776.349286,101599777.715920
23,Baraigram,Yes,63744.399184,63744.399184,110608331.511138
24,Manda,Yes,54005.671531,54005.671531,116401516.674668
27,Bhairab,Yes,121291.426224,121291.426224,215515680.275799
28,Chandanish,Yes,67285.754694,67285.754694,119508298.048744
29,Sirajganj-S,Yes,102699.309796,102699.309796,182639711.025433
30,Thanchi,Yes,91189.904388,91189.904388,183771886.554443
32,Burichong,Yes,119520.748469,119520.748469,214091422.343038
33,Galachipa,Yes,81451.176735,81451.176735,154528525.965004
34,Dumki,Yes,128374.137245,128374.137245,235931064.330283
36,Khaliajuri,Yes,120406.087347,120406.087347,229197408.779650
37,Jhikargacha,Yes,44266.943878,44266.943878,78930675.893817
39,Baliadangi,Yes,47808.299388,47808.299388,587015391.810068
40,Sonargaon,Yes,98272.615408,98272.615408,173209787.668771
41,Fatikchari,Yes,128374.137245,128374.137245,241190960.727006
42,Santhia,Yes,50464.316020,50464.316020,89340009.089729
43,Dakshin Surma,Yes,122766.991020,123062.103980,222215599.327004
47,Shariatpur-S,Yes,100043.293163,100043.293163,176047535.813387
48,Charbhadrasan,Yes,74368.465714,74368.465714,132278090.590984

Assignments (x[j][i]):
Facility ID (j),Facility City,Customer ID (i),Customer City,Assignment Value
0,Gobindaganj,6,Palashbari,6440.000000
0,Gobindaganj,9,Khetlal,6909.000000
0,Gobindaganj,31,Pirganj,5469.000000
0,Gobindaganj,69,Saghata,5271.000000
0,Gobindaganj,91,Dewanganj,5155.000000
0,Gobindaganj,106,Sadullapur,5757.000000
0,Gobindaganj,129,Jhenaigati,4832.000000
0,Gobindaganj,147,Gaibandha-S,5410.000000
0,Gobindaganj,255,Kalai,5760.000000
0,Gobindaganj,270,Ghoraghat,7096.000000
0,Gobindaganj,284,Dhupchancia,6902.000000
0,Gobindaganj,328,Fulchari,6604.000000
0,Gobindaganj,331,Sonatala,5438.000000
0,Gobindaganj,367,Shibganj,4858.000000
0,Gobindaganj,376,Shibganj,5296.000000
0,Gobindaganj,378,Akkelpur,2891.271939
0,Gobindaganj,386,Bakshiganj,7324.000000
0,Gobindaganj,421,Pirganj,170.765510
0,Gobindaganj,427,Joypurhat-S,6152.000000
0,Gobindaganj,435,Islampur,8703.000000
2,Sonagazi,40,Feni,5425.000000
2,Sonagazi,47,Chhagalniya,8207.000000
2,Sonagazi,54,Begumganj,5298.000000
2,Sonagazi,55,Lakshmipur-Sadar,2988.989694
2,Sonagazi,64,Fulgazi,4672.000000
2,Sonagazi,189,Sonaimuri,6366.000000
2,Sonagazi,194,Chatkhil,8364.000000
2,Sonagazi,228,Companiganj,5221.000000
2,Sonagazi,269,Noakhali-S,5790.000000
2,Sonagazi,300,Senbag,6570.000000
2,Sonagazi,360,Subarna Char,7885.000000
2,Sonagazi,372,Daganbhuiyan,6348.000000
2,Sonagazi,384,Sandwip,2027.203673
2,Sonagazi,416,Kabir Hat,8945.000000
3,Gangni,3,Jhenaidah-S,4316.000000
3,Gangni,25,Charghat,3957.309796
3,Gangni,35,Mujib Nagar,4541.000000
3,Gangni,43,Alamdanga,8118.000000
3,Gangni,92,Kushtia-S,8460.000000
3,Gangni,160,Daulatpur,8755.000000
3,Gangni,162,Chuadanga-S,8083.000000
3,Gangni,221,Bagha,8449.000000
3,Gangni,234,Lalpur,4180.000000
3,Gangni,236,Shailkupa,4779.000000
3,Gangni,246,Damurhuda,6620.000000
3,Gangni,298,Mirpur,8265.000000
3,Gangni,341,Jibannagar,7585.000000
3,Gangni,382,Meherpur-S,6621.000000
3,Gangni,383,Harinakunda,4712.000000
3,Gangni,437,Bheramara,5258.000000
