iter,lagrangian,primal,LB,UB,gap,step
0,20139.057129,45309.093750,20139.057129,45309.093750,0.555518,0.015359
1,21140.389955,47482.758060,21140.389955,45309.093750,0.533418,0.007811
2,27838.881465,48655.231513,27838.881465,45309.093750,0.385578,0.006878
3,25059.883039,46810.373490,27838.881465,45309.093750,0.385578,0.005477
4,29684.526046,47734.366548,29684.526046,45309.093750,0.344844,0.009147
5,21618.092845,48488.422519,29684.526046,45309.093750,0.344844,0.003734
6,30918.354423,46209.686584,30918.354423,45309.093750,0.317613,0.011478
7,22407.909596,48978.555800,30918.354423,45309.093750,0.317613,0.004577
8,30817.175313,46654.012077,30918.354423,45309.093750,0.317613,0.006500
9,26121.034413,48283.147670,30918.354423,45309.093750,0.317613,0.004645
10,30594.823329,46269.858215,30918.354423,45309.093750,0.317613,0.008291
11,23770.105815,49149.850955,30918.354423,45309.093750,0.317613,0.004073
Stopping early: No change in bounds for 5 consecutive iterations.
