Iteration 0: Lower Bound = 20139.1, Upper Bound = 45309.1
Iteration 1: Lower Bound = 21140.4, Upper Bound = 45309.1
Iteration 2: Lower Bound = 27838.9, Upper Bound = 45309.1
Iteration 3: Lower Bound = 27838.9, Upper Bound = 45309.1
Iteration 4: Lower Bound = 29684.5, Upper Bound = 45309.1
Iteration 5: Lower Bound = 29684.5, Upper Bound = 45309.1
Iteration 6: Lower Bound = 30918.4, Upper Bound = 45309.1
Iteration 7: Lower Bound = 30918.4, Upper Bound = 45309.1
Iteration 8: Lower Bound = 30918.4, Upper Bound = 45309.1
Iteration 9: Lower Bound = 30918.4, Upper Bound = 45309.1
Iteration 10: Lower Bound = 30918.4, Upper Bound = 45309.1
Iteration 11: Lower Bound = 30918.4, Upper Bound = 45309.1
Iteration 12: Lower Bound = 30918.4, Upper Bound = 45309.1
Iteration 13: Lower Bound = 30918.4, Upper Bound = 45309.1
Iteration 14: Lower Bound = 30918.4, Upper Bound = 45309.1
Iteration 15: Lower Bound = 30918.4, Upper Bound = 45309.1
Iteration 16: Lower Bound = 30918.4, Upper Bound = 45309.1
Iteration 17: Lower Bound = 30918.4, Upper Bound = 45309.1
Iteration 18: Lower Bound = 30918.4, Upper Bound = 45309.1
Iteration 19: Lower Bound = 30972.4, Upper Bound = 45309.1
Iteration 20: Lower Bound = 30972.4, Upper Bound = 45309.1
Iteration 21: Lower Bound = 30972.4, Upper Bound = 45309.1
Iteration 22: Lower Bound = 30972.4, Upper Bound = 45309.1
Iteration 23: Lower Bound = 30972.4, Upper Bound = 45309.1
Iteration 24: Lower Bound = 30972.4, Upper Bound = 45309.1
Iteration 25: Lower Bound = 30972.4, Upper Bound = 45309.1
Iteration 26: Lower Bound = 30972.4, Upper Bound = 45309.1
Iteration 27: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 28: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 29: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 30: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 31: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 32: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 33: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 34: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 35: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 36: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 37: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 38: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 39: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 40: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 41: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 42: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 43: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 44: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 45: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 46: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 47: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 48: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 49: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 50: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 51: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 52: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 53: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 54: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 55: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 56: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 57: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 58: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 59: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 60: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 61: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 62: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 63: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 64: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 65: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 66: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 67: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 68: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 69: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 70: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 71: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 72: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 73: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 74: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 75: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 76: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 77: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 78: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 79: Lower Bound = 31482.1, Upper Bound = 45309.1
Iteration 80: Lower Bound = 31588.7, Upper Bound = 45309.1
Iteration 81: Lower Bound = 31588.7, Upper Bound = 45309.1
Iteration 82: Lower Bound = 31588.7, Upper Bound = 45309.1
Iteration 83: Lower Bound = 31588.7, Upper Bound = 45309.1
Iteration 84: Lower Bound = 31588.7, Upper Bound = 45309.1
Iteration 85: Lower Bound = 31588.7, Upper Bound = 45309.1
Iteration 86: Lower Bound = 31588.7, Upper Bound = 45309.1
Iteration 87: Lower Bound = 31588.7, Upper Bound = 45309.1
Iteration 88: Lower Bound = 31588.7, Upper Bound = 45309.1
Iteration 89: Lower Bound = 31588.7, Upper Bound = 45309.1
Iteration 90: Lower Bound = 31588.7, Upper Bound = 45309.1
Iteration 91: Lower Bound = 31588.7, Upper Bound = 45309.1
Iteration 92: Lower Bound = 31588.7, Upper Bound = 45309.1
Iteration 93: Lower Bound = 31588.7, Upper Bound = 45309.1
Iteration 94: Lower Bound = 31588.7, Upper Bound = 45309.1
Iteration 95: Lower Bound = 31588.7, Upper Bound = 45309.1
Iteration 96: Lower Bound = 31588.7, Upper Bound = 45309.1
Iteration 97: Lower Bound = 31588.7, Upper Bound = 45309.1
Iteration 98: Lower Bound = 31588.7, Upper Bound = 45309.1
Iteration 99: Lower Bound = 31588.7, Upper Bound = 45309.1
Iteration 100: Lower Bound = 31713.9, Upper Bound = 45309.1
Iteration 101: Lower Bound = 31713.9, Upper Bound = 45309.1
Iteration 102: Lower Bound = 31713.9, Upper Bound = 45309.1
Iteration 103: Lower Bound = 31713.9, Upper Bound = 45309.1
Iteration 104: Lower Bound = 31713.9, Upper Bound = 45309.1
Iteration 105: Lower Bound = 31713.9, Upper Bound = 45309.1
Iteration 106: Lower Bound = 31713.9, Upper Bound = 45309.1
Iteration 107: Lower Bound = 31713.9, Upper Bound = 45309.1
Iteration 108: Lower Bound = 31713.9, Upper Bound = 45309.1
Iteration 109: Lower Bound = 31713.9, Upper Bound = 45309.1
Iteration 110: Lower Bound = 31713.9, Upper Bound = 45309.1
Iteration 111: Lower Bound = 31713.9, Upper Bound = 45309.1
Iteration 112: Lower Bound = 31713.9, Upper Bound = 45309.1
Iteration 113: Lower Bound = 31713.9, Upper Bound = 45309.1
Iteration 114: Lower Bound = 31713.9, Upper Bound = 45309.1
Iteration 115: Lower Bound = 31713.9, Upper Bound = 45309.1
