iter,lagrangian,primal,LB,UB,gap,step
0,1127309375.184625,7870659302.715244,1127309375.184625,7870659302.715244,0.856771,0.032196
1,1828783288.211930,7591872828.602946,1828783288.211930,7591872828.602946,0.759113,0.004151
2,3384752950.684468,8001732696.520782,3384752950.684468,7591872828.602946,0.554161,0.004678
3,3727580973.348254,8026565918.366133,3727580973.348254,7591872828.602946,0.509004,0.005464
4,3931334257.177287,8084184222.337573,3931334257.177287,7591872828.602946,0.482165,0.005512
5,4096053631.237011,8068828981.083656,4096053631.237011,7591872828.602946,0.460469,0.004617
6,4029895640.969860,7942771790.871398,4096053631.237011,7591872828.602946,0.460469,0.005068
7,4060961040.785380,7983516776.984580,4096053631.237011,7591872828.602946,0.460469,0.005975
8,3981284941.567334,7962150612.407419,4096053631.237011,7591872828.602946,0.460469,0.005276
9,4031502769.383611,7697492367.278839,4096053631.237011,7591872828.602946,0.460469,0.004609
10,4287663788.273945,8005808035.095938,4287663788.273945,7591872828.602946,0.435230,0.005157
11,4157530267.409860,8080179237.766433,4287663788.273945,7591872828.602946,0.435230,0.005653
12,4096349456.174717,7738557924.673948,4287663788.273945,7591872828.602946,0.435230,0.004373
13,4308652701.192169,7970435592.913841,4308652701.192169,7591872828.602946,0.432465,0.004507
14,4309750737.411213,7984937384.480800,4309750737.411213,7591872828.602946,0.432320,0.007136
15,3730249320.689726,7990594968.671586,4309750737.411213,7591872828.602946,0.432320,0.004111
16,4459036021.266127,7926767111.819843,4459036021.266127,7591872828.602946,0.412657,0.003932
17,4459803693.150321,7861169060.324058,4459803693.150321,7591872828.602946,0.412556,0.005295
18,3978421359.247557,7846980449.339270,4459803693.150321,7591872828.602946,0.412556,0.003330
19,4459784412.868806,7968322389.388862,4459803693.150321,7591872828.602946,0.412556,0.005867
20,4192785625.911443,8040826793.941706,4459803693.150321,7591872828.602946,0.412556,0.005925
21,4136646593.714243,8082412283.173070,4459803693.150321,7591872828.602946,0.412556,0.005767
22,4329617766.404401,8049279436.512738,4459803693.150321,7591872828.602946,0.412556,0.004674
Stopping early: No change in bounds for 5 consecutive iterations.
