iter  lambda         dual           primal         LB             UB             gap            step           subgrad        
----------------------------------------------------------------------------------------------------
0     0.863793       10412          10412          6163           10412          4249           0.000175603    -4919          
1     1.24235        7201.75        9572           6163           7201.75        1038.75        0.000137957    -2744          
2     1.90663        6653.91        7572           6163           6653.91        490.906        0.000898895    -739           
3     0.993517       6726.39        5550           6163           6653.91        490.906        0.00147992     617            
4     1.39282        6863.37        8606           6163           6653.91        490.906        0.000227651    -1754          
5     1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
6     0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
7     1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
8     1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
9     0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
10    1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
11    1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
12    0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
13    1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
14    1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
15    0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
16    1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
17    1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
18    0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
19    1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
20    1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
21    0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
22    1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
23    1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
24    0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
25    1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
26    1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
27    0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
28    1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
29    1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
