
ID      Weight    Value     
--------------------------
8       226       942       
10      50        382       
16      18        664       
31      66        823       
41      38        486       
46      51        801       
51      59        844       
52      25        598       
61      23        738       
64      49        549       
72      35        381       
73      134       810       
80      18        279       
86      77        729       
93      131       716       
95      167       689       
125     52        837       
126     30        668       
133     148       886       
152     26        184       
154     2         663       
186     39        386       
189     122       553       
213     12        873       
237     50        837       
238     98        954       
249     155       791       
256     92        554       
261     28        212       
265     6         701       
272     78        514       
287     24        484       
291     119       860       
293     90        731       
307     162       774       
324     106       463       
329     50        359       
337     121       929       
341     95        809       
346     79        620       
351     13        446       
377     21        718       
394     200       863       
409     202       929       
435     95        666       
454     47        488       
458     52        581       
468     57        432       
471     202       994       
473     184       786       
490     171       747       
500     72        614       
504     67        889       
514     21        296       
517     136       725       
523     67        386       
525     1         420       
534     37        572       
535     7         162       
543     165       862       
551     96        511       
562     46        249       
589     95        516       
590     123       864       
610     131       799       
625     64        789       
627     45        421       
641     94        507       
644     130       863       
647     36        405       
650     110       698       
651     93        460       
656     3         273       
664     160       758       
671     21        207       
687     93        772       
708     46        531       
719     157       946       
736     79        968       
739     35        326       
747     28        736       
751     114       991       
754     138       735       
759     16        745       
773     31        616       
824     85        664       
825     98        597       
833     91        380       
870     113       813       
875     111       802       
880     193       950       
888     119       975       
891     85        998       
892     14        760       
893     2         346       
913     68        661       
926     129       826       
930     41        213       
939     170       722       
942     174       829       
946     81        755       
964     177       990       
968     74        462       
970     67        760       
977     52        758       
1005    50        497       
1009    82        750       
1013    114       905       
1016    37        405       
1032    179       860       
1037    49        290       
1041    59        367       
1045    181       871       
1052    149       718       
1054    190       824       
1055    131       815       
1058    28        458       
1068    62        416       
1072    178       949       
1077    70        970       
1078    26        526       
1083    55        965       
1116    12        558       
1130    68        525       
1132    82        666       
1139    40        978       
1140    164       846       
1148    108       594       
1149    6         438       
1166    24        250       
1175    101       485       
1185    127       568       
1186    52        880       
1189    5         902       
1192    101       972       
1197    14        130       
1199    176       760       
1206    27        426       
1217    101       736       
1218    10        314       
1230    18        85        
1250    78        718       
1253    83        598       
1274    99        719       
1321    143       639       
1324    66        321       
1340    54        868       
1350    34        766       
1355    63        322       
1359    128       609       
1375    35        779       
1384    31        925       
1387    127       523       
1396    15        261       
1404    10        279       
1407    107       853       
1408    170       880       
1438    91        517       
1459    25        945       
1467    76        740       
1473    8         556       
1476    49        818       
1492    103       720       
1493    194       866       
1497    173       868       
1507    127       811       
1509    28        743       
1514    54        402       
1515    101       833       
1522    83        402       
1524    74        895       
1527    24        256       
1529    13        602       
1538    60        522       
1542    112       763       
1551    78        324       
1564    20        527       
1571    25        975       
1583    22        678       
1588    4         568       
1603    36        281       
1604    98        621       
1609    129       829       
1637    3         213       
1647    165       760       
1649    26        993       
1663    78        798       
1664    36        455       
1687    35        201       
1692    16        724       
1695    66        690       
1709    34        413       
1727    175       892       
1728    191       927       
1743    17        944       
1745    22        511       
1761    24        827       
1779    49        903       
1781    8         580       
1791    23        134       
1797    178       965       
1800    114       859       
1827    21        747       
1828    123       763       
1832    50        310       
1835    188       838       
1843    20        97        
1847    11        96        
1848    90        741       
1852    115       693       
1854    46        647       
1870    165       890       
1876    84        804       
1880    58        705       
1889    11        69        
1912    86        530       
1915    28        984       
1917    84        910       
1918    27        839       
1948    84        751       
1953    165       676       
1968    217       973       
1972    158       681       
1973    51        321       
1981    19        806       
1990    59        525       
2000    168       903       
2005    142       974       
2017    56        636       
2022    111       684       
2024    117       747       
2027    139       931       
2043    83        596       
2046    146       670       
2070    120       728       
2073    46        589       
2076    185       801       
2079    111       584       
2081    171       914       
2086    133       587       
2101    1         782       
2116    141       951       
2120    163       777       
2124    1         315       
2157    41        702       
2167    136       813       
2178    105       435       
2181    29        764       
